ItemID,Item,Frequency_TGP,Frequency_Corpora,Target/Control,Participant,Dutch_proficiency,English_proficiency,Time,Score,Categorical_score,Language
1,to drop me off,,10661,0,3,51,78,1,2,1,English
2,a rough patch,,1193,0,3,51,78,1,1,1,English
3,give me a ride,,8601,0,3,51,78,1,2,1,English
4,to plug in,,2268,0,3,51,78,1,2,1,English
5,to keep up,,20554,0,3,51,78,1,2,1,English
6,to be supposed to,18,158126,1,3,51,78,1,2,1,English
7,maid of honour,,2430,0,3,51,78,1,1,1,English
8,I used to,7,68648,1,3,51,78,1,2,1,English
9,on the same page,,2889,0,3,51,78,1,2,1,English
10,a vow of silence,4,575,1,3,51,78,1,1,1,English
11,no big deal,6,13979,1,3,51,78,1,2,1,English
12,on your own,3,26888,1,3,51,78,1,2,1,English
13,do for a living,3,4899,1,3,51,78,1,2,1,English
14,Jalapeño poppers,4,60,1,3,51,78,1,1,1,English
15,catch a cold,,2344,0,3,51,78,1,2,1,English
18,why don't you,12,51952,1,3,51,78,1,2,1,English
19,a marriage councelor,3,176,1,3,51,78,1,1,1,English
20,proud of you,3,25471,1,3,51,78,1,2,1,English
21,say no more,3,3487,1,3,51,78,1,2,1,English
22,show somebody around,,4902,0,3,51,78,1,2,1,English
23,figure out,15,89129,1,3,51,78,1,1,1,English
24,break a promise,3,482,1,3,51,78,1,2,1,English
25,give me a hand,,18448,0,3,51,78,1,2,1,English
26,go ahead,3,130817,1,3,51,78,1,1,1,English
27,pretend to be,5,18299,1,3,51,78,1,1,1,English
29,to lie down,,22256,0,3,51,78,1,2,1,English
30,I would rather,3,44548,1,3,51,78,1,2,1,English
31,designated driver,3,611,1,3,51,78,1,1,1,English
32,find a way to,4,20085,1,3,51,78,1,2,1,English
33,stretch your legs,,1430,0,3,51,78,1,2,1,English
34,to look for,3,15246,1,3,51,78,1,2,1,English
36,look out for each other,,895,0,3,51,78,1,2,1,English
37,best man,3,10717,1,3,51,78,1,2,1,English
38,to show up,3,7125,1,3,51,78,1,2,1,English
40,to make sure,3,46557,1,3,51,78,1,2,1,English
41,to be allowed to,3,581,1,3,51,78,1,2,1,English
